gene_symbol,statistic,dm,p.value,mean_pnet,mean_norm,pval_log
A4GALT,-0.11596359421296772,-0.004084688188087715,0.910227668884166,0.20076482381139957,0.20484951199948728,0.04084996704861583
AACS,0.18839319328363288,0.00598014231120142,0.8547479062751857,0.08706547501495178,0.08108533270375036,0.06816195434446765
AAK1,-0.17696695590885161,-0.005117175082593628,0.8634528226928827,0.07692557979727492,0.08204275487986855,0.06376138641600858
AARS,0.5866683490608459,0.019562616967397944,0.5718461599268061,0.173960329849397,0.15439771288199905,0.2427207909291154
AARS2,0.6000421891542578,0.02630310138308957,0.5632791609520393,0.11366420645123869,0.08736110506814913,0.24927631560460534
AASDH,0.8347391884102928,0.004616409998372872,0.42546674435735665,0.036171716641390364,0.031555306643017485,0.37113437989553794
AASS,-0.2861629285845123,-0.009093192865409341,0.7812310621576947,0.08960091885187603,0.09869411171728537,0.10722049726399371
AATF,-0.047947134464992464,-0.0010052334304824842,0.962805510266548,0.06087248665738922,0.0618777200878717,0.016461432863659406
ABAT,-0.4716248880805755,-0.01671945705184326,0.6484184559822377,0.10154347748821799,0.11826293454006125,0.18814463229179476
ABCA1,-1.1666166767102881,-0.028970071927273897,0.2733463011837122,0.08085915292858861,0.10982922485586252,0.563286798437402
ABCA7,-0.07113456097941696,-0.0011569560640314336,0.9448462926984644,0.0630151468546575,0.06417210291868894,0.024638836636101776
ABCB10,-0.6700463666295247,-0.017611535555135907,0.5196482384072216,0.07620010877128373,0.09381164432641965,0.2842905406211926
ABCB6,0.04288157779942587,0.0013299030886172736,0.9667322298987902,0.08901741882965276,0.08768751574103549,0.014693802216187367
ABCB8,-0.28013893404474915,-0.0061827082898010255,0.7857033145187273,0.0991067225325632,0.10528943082236422,0.1047414147637764
ABCC8,0.3470967245146546,0.006386369051538526,0.7364968460587495,0.05789261664690642,0.0515062475953679,0.13282910862069064
ABCF3,0.33836890121107827,0.005961660020504057,0.7428449977787036,0.045882515751976105,0.03992085573147205,0.12910179678054656
ABCG2,0.9259269671406969,0.024083648359204797,0.3786434832696888,0.084287521037357,0.060203872678152186,0.42176951329960555
ABHD1,-0.06150410220900518,-0.0014418071765732454,0.9523019337120027,0.08980732984064231,0.09124913701721556,0.02122533380533939
ABHD3,0.3225232568203184,0.009501150292196586,0.7544226119619828,0.09348467679257978,0.08398352650038318,0.12238530316687897
ABHD5,-0.6891170962186943,-0.010738391379900819,0.5081242779885861,0.0673220887868609,0.07806048016676173,0.29403005416551364
ABHD8,-0.516372951640603,-0.014086206768203796,0.6180408938915096,0.12306663921734616,0.13715284598554997,0.20898278801174916
ABI2,0.004206634131374006,1.32546636483169e-4,0.9967353689145273,0.07292809140059028,0.07279554476410713,0.0014201306305255598
ABL1,-0.8143385926431624,-0.015720000223634734,0.4364671475773091,0.08433534309524542,0.10005534331888014,0.3600484396166771
ABTB2,0.15172326104042072,0.0022255875053111968,0.8827518088413886,0.06870808230120097,0.06648249479588979,0.05416138385375924
ACAD9,0.38843486462459365,0.007624492470984637,0.7067230743163881,0.06682153085882014,0.05919703838783551,0.15075072885693866
ACAP2,0.022904718709682307,7.843657024573028e-5,0.9822260659029112,0.030168294109093694,0.03008985753884797,0.0077885449268824195
ACAT1,0.15822327346055348,0.00554935692681377,0.8777741256511603,0.10595449438276004,0.10040513745594627,0.05661722510022916
ACAT2,-0.6766397935080706,-0.020147087388758866,0.5156461553393055,0.0684468554867981,0.08859394287555697,0.28764821600437457
ACBD3,-0.7835865706737173,-0.02401026028112503,0.4534094289045467,0.10274889985192678,0.1267591601330518,0.34350945271714006
ACBD6,0.44241152131989253,0.0052826242572011975,0.6686324467875966,0.06045622975808994,0.055173605500888734,0.17481255218423047
ACBD7,0.15086955227097676,0.004774496390820879,0.8834059848459953,0.0667419722212074,0.06196747583038653,0.05383966283539721
ACCN1,1.7709484519432899,0.23018429330881912,0.1103413163408701,0.4719085855050616,0.24172429219624245,0.9572618393363522
ACE,-0.02451771815385201,-4.106847392688351e-4,0.9809746567897428,0.052260534835453225,0.05267121957472205,0.008342212353528604
ACER2,0.8084184164373156,0.04471789579331997,0.43969516977519574,0.19144668453275895,0.14672878873943898,0.35684830525020744
ACKR3,0.34369858808229087,0.016374976617718945,0.7389659908232877,0.12201872823262092,0.10564375161490197,0.1313755485302788
ACOT7,-0.13290793783523125,-0.005029142167772116,0.8971903841846517,0.09958484872405213,0.10461399089182426,0.04711538970111151
ACP6,0.3331364212144222,0.004439308902177336,0.7466607307641553,0.044960632991326625,0.040521324089149297,0.12687668898365093
ACSF2,-0.5635326570764692,-0.01700809989442509,0.5868364242955932,0.08566830831231051,0.1026764082067356,0.23148293780823143
ACSL1,0.12626206772861126,9.464227468144251e-4,0.9023001853369254,0.036722674627646834,0.03577625188083241,0.04464895342609421
ACSS3,1.1238561661043707,0.035325059192759564,0.2901556109860498,0.10873571826260589,0.07341065906984634,0.5373690266961495
ACTA1,0.5699427784470893,0.02306271731783069,0.5826617563198828,0.12680190127942076,0.10373918396159007,0.2345834863963898
