gene_symbol,statistic,dm,p.value,mean_pnet,mean_norm,pval_log
A4GALT,-0.3296328656558497,-0.016416914001276678,0.7501425140924242,0.22126642600076396,0.20484951199948728,0.12485622033596178
AACS,-0.4850419537407747,-0.013826360951596839,0.64064945623033,0.0949116936553472,0.08108533270375036,0.19337953813728295
AAK1,-0.5898128979445271,-0.019113472194984493,0.5715942020090883,0.10115622707485304,0.08204275487986855,0.24291218514389093
AARS,-0.27807521082418124,-0.010642166609553971,0.7880062890778381,0.16503987949155302,0.15439771288199905,0.10347031639254872
AARS2,-1.157642159026391,-0.055120733143474016,0.28040186302667935,0.14248183821162314,0.08736110506814913,0.5522191051864112
AASDH,-1.812281436196245,-0.008282790716651833,0.10751471363306238,0.039838097359669325,0.031555306643017485,0.9685320974936653
AASS,-0.21834459341101914,-0.007841553346297978,0.8326275070445862,0.10653566506358336,0.09869411171728537,0.07954924567078135
AATF,-0.9391865110631684,-0.01958526255985086,0.37512177203007424,0.08146298264772256,0.0618777200878717,0.42582772870953206
ABAT,-0.26451602761150345,-0.012464485451468096,0.798069471704128,0.13072741999152934,0.11826293454006125,0.09795930180150467
ABCA1,0.5699350560108806,0.015725308193655002,0.5843675211618657,0.0941039166622075,0.10982922485586252,0.2333139299248693
ABCA7,-0.6328298982434949,-0.012125772786812622,0.5445048704899714,0.07629787570550156,0.06417210291868894,0.2639982312113126
ABCB10,-0.18253960932022337,-0.005132911918753591,0.8597002152923514,0.09894455624517322,0.09381164432641965,0.06565296450256272
ABCB6,-0.33953839475100894,-0.010415940193398449,0.742946020957441,0.09810345593443394,0.08768751574103549,0.12904273893380455
ABCB8,-0.44960679179640156,-0.012002840608474341,0.6649258386619525,0.11729227143083858,0.10528943082236422,0.17722679026973961
ABCC8,-0.9189354169134761,-0.019096286285616687,0.3849984217023018,0.07060253388098459,0.0515062475953679,0.4145410508743204
ABCF3,-1.2154120730931772,-0.019419263894296372,0.2588571346747864,0.05934011962576843,0.03992085573147205,0.5869398604013137
ABCG2,-1.1483830604475271,-0.030316424296421084,0.28398718264494993,0.09052029697457327,0.060203872678152186,0.5467012607705225
ABHD1,-0.6619327223921717,-0.01929587963455562,0.5266177829793608,0.11054501665177117,0.09124913701721556,0.2785044796025111
ABHD3,0.04603256271430121,0.0011103577435801065,0.9644126448500471,0.08287316875680308,0.08398352650038318,0.015737104026024806
ABHD5,-0.29770362877071355,-0.005396592297857369,0.7735139411508636,0.0834570724646191,0.07806048016676173,0.1115318545433726
ABHD8,0.3530125514446384,0.011787699566260634,0.7332000104210636,0.12536514641928934,0.13715284598554997,0.134777537537139
ABI2,-0.5373702727250822,-0.017493573723643394,0.605632021387744,0.09028911848775052,0.07279554476410713,0.21779117058798522
ABL1,0.23422493637364217,0.004790721032798526,0.8206934197283856,0.0952646222860816,0.10005534331888014,0.08581904871043013
ABTB2,-1.0047800225646795,-0.01296157821052911,0.34442276700732877,0.07944407300641891,0.06648249479588979,0.46290814856898993
ACAD9,-0.9193467111344995,-0.015736874130812165,0.38479595199446726,0.07493391251864767,0.05919703838783551,0.4147695053341016
ACAP2,-0.9466851483891247,-0.004722894120453288,0.371512461510781,0.034812751659301255,0.03008985753884797,0.4300266142732537
ACAT1,-0.3481995149996235,-0.013140732496240079,0.7366755390971824,0.11354586995218637,0.10040513745594627,0.13272375041318077
ACAT2,-0.5993958366284613,-0.02650261586655092,0.5654934285331565,0.11509655874210789,0.08859394287555697,0.24757243754377897
ACBD3,0.30398618313792564,0.01163631404731745,0.7688948919451529,0.11512284608573434,0.1267591601330518,0.11413302426633956
ACBD6,-1.3431831856978407,-0.021360575198482917,0.21606912244850857,0.07653418069937165,0.055173605500888734,0.6654072919245433
ACBD7,-1.1404342522390225,-0.040660006059014486,0.28709464657492884,0.10262748188940102,0.06196747583038653,0.5419749056736237
ACCN1,0.8248208864355951,0.08996979279678508,0.433376700072696,0.15175449939945743,0.24172429219624245,0.36313444165918685
ACE,-0.33400228903994905,-0.007147024692131243,0.7469648120679899,0.0598182442668533,0.05267121957472205,0.12669985639697803
ACER2,-0.04552408415125109,-0.0028368002379674795,0.9648054379312161,0.14956558897740643,0.14672878873943898,0.015560257383790634
ACKR3,-0.7858380929276253,-0.0382098422673921,0.4546057148745958,0.1438535938822941,0.10564375161490197,0.342365109035814
ACOT7,-0.5587765242531226,-0.02402339842008752,0.5916070725534059,0.12863738931191174,0.10461399089182426,0.2279666427337032
