gene_symbol,statistic,dm,p.value,mean_pnet,mean_norm,pval_log
A4GALT,-1.077911241751391,-0.03437069392984557,0.30066898604960407,0.20484951199948728,0.17047881806964169,0.5219113669848406
AACS,-0.10527703647973016,-0.002718661855868859,0.9177630415667026,0.08108533270375036,0.07836667084788151,0.0372694353827206
AAK1,0.12906548443510646,0.002928505323659125,0.8992813025784018,0.08204275487986855,0.08497126020352767,0.04610443613334432
AARS,0.7711535681064186,0.02531186093669696,0.4544046858245512,0.15439771288199905,0.17970957381869598,0.34255719882596997
AARS2,0.5407669000623034,0.02022391314430798,0.5978124189329732,0.08736110506814913,0.1075850182124571,0.22343506718559877
AASDH,1.7496601602597814,0.019223639398880624,0.10372840459658639,0.031555306643017485,0.050778946041898115,0.9841023017557271
AASS,0.4880165304904954,0.013487149323214653,0.6336658211997919,0.09869411171728537,0.11218126104050002,0.19813971731004779
AATF,0.5884963921064884,0.00999080561612884,0.5662839955929755,0.0618777200878717,0.07186852570400054,0.24696571229873274
ABAT,-1.3975836576176162,-0.041843429435410376,0.18563285636214147,0.11826293454006125,0.07641950510465088,0.7313451527190546
ABCA1,-0.018179507332685307,-4.1499004811014484e-4,0.9857717079206667,0.10982922485586252,0.10941423480775235,0.006223650444083055
ABCA7,0.11273973174306123,0.001870170039119698,0.9119592270775847,0.06417210291868894,0.06604227295780864,0.040024578174931165
ABCB10,-0.9338589021629404,-0.019948971926959394,0.3673987559633235,0.09381164432641965,0.07386267239946025,0.43486231857778423
ABCB6,0.3783003971245307,0.01094940875207459,0.71131294841392,0.08768751574103549,0.09863692449311008,0.14793928553309074
ABCB8,0.37266042533598154,0.00705780528541905,0.7154063160514407,0.10528943082236422,0.11234723610778326,0.14544722994860992
ABCC8,1.181358377670031,0.022300321129168604,0.25862167464685737,0.0515062475953679,0.0738065687245365,0.5873350804414524
ABCF3,0.9389652247712158,0.01265874414510252,0.3648678964296749,0.03992085573147205,0.05257959987657457,0.4378643471500066
ABCG2,1.2022242192258348,0.033488095578480016,0.2507184175098913,0.060203872678152186,0.0936919682566322,0.6008137620564472
ABHD1,0.2691297607779053,0.005138579997898685,0.7920539356173555,0.09124913701721556,0.09638771701511423,0.10124524373444542
ABHD3,0.06443137974375597,0.0014445888761465409,0.9496069807570902,0.08398352650038318,0.08542811537652971,0.022456101453275226
ABHD5,1.2370149987019168,0.015295263423253935,0.23796198056892237,0.07806048016676173,0.09335574359001565,0.6234924250783279
ABHD8,-0.5955819292386805,-0.0148262534803449,0.5616805073647049,0.13715284598554997,0.12232659250520507,0.25051064767600195
ABI2,-0.35688801264563574,-0.01022260289131266,0.7269019373581529,0.07279554476410713,0.06257294187279448,0.13852417364821856
ABL1,-0.6265809798270754,-0.009137431569189836,0.541781074493076,0.10005534331888014,0.0909179117496903,0.2661761698210861
ABTB2,0.7515299550679002,0.008095032912593267,0.46572239420509487,0.06648249479588979,0.07457752770848305,0.331872878567448
ACAD9,1.222678824067318,0.02515385864027031,0.2431551803604413,0.05919703838783551,0.08435089702810582,0.6141164734616766
ACAP2,1.221384075117099,0.005482913792182655,0.24362855145680454,0.03008985753884797,0.035572771331030616,0.6132718169688282
ACAT1,0.009256245174964605,2.6654400706017933e-4,0.9927552301333757,0.10040513745594627,0.10067168146300645,0.003157816263997396
ACAT2,0.32238921401907683,0.010633191635133793,0.7522838238111804,0.08859394287555697,0.09922713451069076,0.12361827661637399
ACBD3,-1.1089181004019244,-0.03157133563938988,0.2875591624936218,0.1267591601330518,0.09518782449366192,0.5412727899267158
ACBD6,2.8629602524630986,0.029523019289061758,0.013321774347431654,0.055173605500888734,0.08469662478995048,1.8754379269691497
ACBD7,0.5592460199615547,0.013858364020625513,0.5855000239612667,0.06196747583038653,0.07582583985101204,0.23247308281835474
ACCN1,1.4539641706418904,0.14264835711943352,0.16967017831321254,0.24172429219624245,0.38437264931567605,0.7703944837408515
ACE,-0.10222315738994181,-0.0016322817028626355,0.9201395093662957,0.05267121957472205,0.05103893787185942,0.036146320964653006
ACER2,0.32142461850648485,0.014618505582883579,0.7529979996229024,0.14672878873943898,0.1613472943223226,0.12320617752292382
ACKR3,1.3370469000743443,0.06377833732501564,0.2041339411677811,0.10564375161490197,0.16942208893991761,0.6900847795251492
ACOT7,0.18230611142387618,0.006722320492339326,0.858154657981119,0.10461399089182426,0.11133631138416356,0.06643443586348827
ACP6,0.46024581460065167,0.004740327737411981,0.6529433932384517,0.040521324089149297,0.04526165182656128,0.1851244681426903
ACSF2,-0.4642435064484528,-0.010199341114286692,0.6501518474694066,0.1026764082067356,0.09247706709244892,0.18698519902434216
ACSL1,1.7552279012178,0.033829895729335306,0.10274083378930883,0.03577625188083241,0.06960614761016772,0.9882569140971152
ACSS3,1.4479554502261007,0.05928276400123296,0.17131485407268893,0.07341065906984634,0.13269342307107931,0.7662049793455133
ACTA1,1.6730706519853558,0.05997565933286986,0.11819193393384744,0.10373918396159007,0.16371484329445993,0.9274121610821037
ACTB,-0.547679760873993,-0.008441776171878489,0.5931910660048154,0.0694190490159145,0.06097727284403601,0.22680539846298786
